ci_nm_invalido|nm_invalido|cd_operador|dt_atualizacao_tabela
90|sexxy|1|2014-01-02 11:12:32.027
91|sexxyshop|1|2014-01-02 11:12:32.027
92|sexyclube|1|2014-01-02 11:12:32.027
93|sexys|1|2014-01-02 11:12:32.027
94|siririca|1|2014-01-02 11:12:32.027
95|sotravesti|1|2014-01-02 11:12:32.030
96|suruba|1|2014-01-02 11:12:32.030
97|surubas|1|2014-01-02 11:12:32.030
98|tarada|1|2014-01-02 11:12:32.030
99|tesuda|1|2014-01-02 11:12:32.030
100|tesudas|1|2014-01-02 11:12:32.030
101|transa|1|2014-01-02 11:12:32.030
102|transando|1|2014-01-02 11:12:32.030
103|transas|1|2014-01-02 11:12:32.030
104|transesex|1|2014-01-02 11:12:32.030
105|transex|1|2014-01-02 11:12:32.030
106|transexuais|1|2014-01-02 11:12:32.030
107|transexual|1|2014-01-02 11:12:32.030
108|transgenero|1|2014-01-02 11:12:32.033
109|transsexual|1|2014-01-02 11:12:32.033
110|travecas|1|2014-01-02 11:12:32.033
111|traveco|1|2014-01-02 11:12:32.033
112|travecos|1|2014-01-02 11:12:32.033
113|travesti|1|2014-01-02 11:12:32.033
114|travestis|1|2014-01-02 11:12:32.033
115|travetis|1|2014-01-02 11:12:32.033
116|trepada|1|2014-01-02 11:12:32.033
117|trepadas|1|2014-01-02 11:12:32.033
118|vagabunda|1|2014-01-02 11:12:32.037
119|vagina|1|2014-01-02 11:12:32.037
120|vaginal|1|2014-01-02 11:12:32.037
121|vaginas|1|2014-01-02 11:12:32.037
122|vaginismo|1|2014-01-02 11:12:32.037
123|viadinho|1|2014-01-02 11:12:32.037
124|viado|1|2014-01-02 11:12:32.037
125|vibrador|1|2014-01-02 11:12:32.037
126|vibradores|1|2014-01-02 11:12:32.037
127|vibro|1|2014-01-02 11:12:32.037
128|vibros|1|2014-01-02 11:12:32.040
129|xoxota|1|2014-01-02 11:12:32.040
130|xoxotas|1|2014-01-02 11:12:32.040
131|xupaxota|1|2014-01-02 11:12:32.040
132|zoofilia|1|2014-01-02 11:12:32.040
133|zoofilias|1|2014-01-02 11:12:32.040
134|zooofilia|1|2014-01-02 11:12:32.040
135|zooofilia|1|2014-01-02 11:12:32.040
